Date,Upload Date,Channel,Video,Views
2021-04-11,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70732012
2021-04-11,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21716183
2021-04-11,2009-10-02,Carrie Underwood,Before He Cheats,134652236
2021-04-11,2009-10-02,Carrie Underwood,Wasted,30083854
2021-04-11,2009-10-02,Carrie Underwood,So Small,31969137
2021-04-11,2009-10-02,Carrie Underwood,All-American Girl,35237928
2021-04-11,2009-10-02,Carrie Underwood,Last Name,26664217
2021-04-11,2009-10-02,Carrie Underwood,Just A Dream,85761619
2021-04-11,2017-12-04,Carrie Underwood,I Told You So,2587397
2021-04-11,2009-11-14,Carrie Underwood,Cowboy Casanova,37797763
2021-04-11,2010-01-20,Carrie Underwood,Temporary Home,45595130
2021-04-11,2010-05-11,Carrie Underwood,Undo It,14092282
2021-04-11,2010-09-23,Carrie Underwood,Mama's Song,52357314
2021-04-11,2011-07-28,Brad Paisley,Remind Me,136842134
2021-04-11,2012-03-12,Carrie Underwood,Good Girl,37985444
2021-04-11,2012-08-01,Carrie Underwood,Blown Away,50518945
2021-04-11,2013-01-23,Carrie Underwood,Two Black Cadillacs,48436536
2021-04-11,2013-06-07,Carrie Underwood,See You Again,46890953
2021-04-11,2014-06-26,Miranda Lambert,Somethin' Bad,127664524
2021-04-11,2014-11-06,Carrie Underwood,Something in the Water,32907474
2021-04-11,2015-01-31,Carrie Underwood,Little Toy Guns,21627445
2021-04-11,2015-08-25,Carrie Underwood,Smoke Break,19753305
2021-04-11,2015-12-02,Carrie Underwood,Heartbeat,22238069
2021-04-11,2016-05-12,Carrie Underwood,Church Bells,50213819
2021-04-11,2016-10-13,Carrie Underwood,Dirty Laundry,39472105
2021-04-11,2018-05-06,Carrie Underwood,Cry Pretty,20606569
2021-04-11,2018-09-11,Carrie Underwood,Love Wins,14101138
2021-04-11,2019-06-07,Carrie Underwood,Southbound,17028760
2021-04-11,2019-11-20,Carrie Underwood,Drinking Alone,13819309
2021-04-12,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70762540
2021-04-12,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21719173
2021-04-12,2009-10-02,Carrie Underwood,Before He Cheats,134691735
2021-04-12,2009-10-02,Carrie Underwood,Wasted,30087583
2021-04-12,2009-10-02,Carrie Underwood,So Small,31972148
2021-04-12,2009-10-02,Carrie Underwood,All-American Girl,35243128
2021-04-12,2009-10-02,Carrie Underwood,Last Name,26670119
2021-04-12,2009-10-02,Carrie Underwood,Just A Dream,85770853
2021-04-12,2017-12-04,Carrie Underwood,I Told You So,2591113
2021-04-12,2009-11-14,Carrie Underwood,Cowboy Casanova,37804597
2021-04-12,2010-01-20,Carrie Underwood,Temporary Home,45608684
2021-04-12,2010-05-11,Carrie Underwood,Undo It,14095322
2021-04-12,2010-09-23,Carrie Underwood,Mama's Song,52368328
2021-04-12,2011-07-28,Brad Paisley,Remind Me,136874085
2021-04-12,2012-03-12,Carrie Underwood,Good Girl,37994855
2021-04-12,2012-08-01,Carrie Underwood,Blown Away,50532372
2021-04-12,2013-01-23,Carrie Underwood,Two Black Cadillacs,48459217
2021-04-12,2013-06-07,Carrie Underwood,See You Again,46896671
2021-04-12,2014-06-26,Miranda Lambert,Somethin' Bad,127717766
2021-04-12,2014-11-06,Carrie Underwood,Something in the Water,32914224
2021-04-12,2015-01-31,Carrie Underwood,Little Toy Guns,21632366
2021-04-12,2015-08-25,Carrie Underwood,Smoke Break,19755310
2021-04-12,2015-12-02,Carrie Underwood,Heartbeat,22241154
2021-04-12,2016-05-12,Carrie Underwood,Church Bells,50228142
2021-04-12,2016-10-13,Carrie Underwood,Dirty Laundry,39481687
2021-04-12,2018-05-06,Carrie Underwood,Cry Pretty,20611186
2021-04-12,2018-09-11,Carrie Underwood,Love Wins,14105546
2021-04-12,2019-06-07,Carrie Underwood,Southbound,17036113
2021-04-12,2019-11-20,Carrie Underwood,Drinking Alone,13832491
2021-04-12,2020-11-20,Carrie Underwood,Hallelujah,6284075
2021-04-13,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70785879
2021-04-13,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21721479
2021-04-13,2009-10-02,Carrie Underwood,Before He Cheats,134719058
2021-04-13,2009-10-02,Carrie Underwood,Wasted,30090138
2021-04-13,2009-10-02,Carrie Underwood,So Small,31974384
2021-04-13,2009-10-02,Carrie Underwood,All-American Girl,35246885
2021-04-13,2009-10-02,Carrie Underwood,Last Name,26674596
2021-04-13,2009-10-02,Carrie Underwood,Just A Dream,85778314
2021-04-13,2017-12-04,Carrie Underwood,I Told You So,2593972
2021-04-13,2009-11-14,Carrie Underwood,Cowboy Casanova,37809853
2021-04-13,2010-01-20,Carrie Underwood,Temporary Home,45618862
2021-04-13,2010-05-11,Carrie Underwood,Undo It,14097633
2021-04-13,2010-09-23,Carrie Underwood,Mama's Song,52376471
2021-04-13,2011-07-28,Brad Paisley,Remind Me,136898108
2021-04-13,2012-03-12,Carrie Underwood,Good Girl,38001519
2021-04-13,2012-08-01,Carrie Underwood,Blown Away,50542018
2021-04-13,2013-01-23,Carrie Underwood,Two Black Cadillacs,48475322
2021-04-13,2013-06-07,Carrie Underwood,See You Again,46901091
2021-04-13,2014-06-26,Miranda Lambert,Somethin' Bad,127756833
2021-04-13,2014-11-06,Carrie Underwood,Something in the Water,32919134
2021-04-13,2015-01-31,Carrie Underwood,Little Toy Guns,21635989
2021-04-13,2015-08-25,Carrie Underwood,Smoke Break,19756801
2021-04-13,2015-12-02,Carrie Underwood,Heartbeat,22243597
2021-04-13,2016-05-12,Carrie Underwood,Church Bells,50238493
2021-04-13,2016-10-13,Carrie Underwood,Dirty Laundry,39488671
2021-04-13,2018-05-06,Carrie Underwood,Cry Pretty,20614493
2021-04-13,2018-09-11,Carrie Underwood,Love Wins,14109067
2021-04-13,2019-06-07,Carrie Underwood,Southbound,17041478
2021-04-13,2019-11-20,Carrie Underwood,Drinking Alone,13842425
2021-04-13,2020-11-20,Carrie Underwood,Hallelujah,6293321
2021-04-14,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70808030
2021-04-14,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21723432
2021-04-14,2009-10-02,Carrie Underwood,Before He Cheats,134745055
2021-04-14,2009-10-02,Carrie Underwood,Wasted,30092622
2021-04-14,2009-10-02,Carrie Underwood,So Small,31976676
2021-04-14,2009-10-02,Carrie Underwood,All-American Girl,35250304
2021-04-14,2009-10-02,Carrie Underwood,Last Name,26678045
2021-04-14,2009-10-02,Carrie Underwood,Just A Dream,85785540
2021-04-14,2017-12-04,Carrie Underwood,I Told You So,2596610
2021-04-14,2009-11-14,Carrie Underwood,Cowboy Casanova,37814832
2021-04-14,2010-01-20,Carrie Underwood,Temporary Home,45629093
2021-04-14,2010-05-11,Carrie Underwood,Undo It,14099704
2021-04-14,2010-09-23,Carrie Underwood,Mama's Song,52384481
2021-04-14,2011-07-28,Brad Paisley,Remind Me,136920996
2021-04-14,2012-03-12,Carrie Underwood,Good Girl,38007488
2021-04-14,2012-08-01,Carrie Underwood,Blown Away,50550601
2021-04-14,2013-01-23,Carrie Underwood,Two Black Cadillacs,48489721
2021-04-14,2013-06-07,Carrie Underwood,See You Again,46905453
2021-04-14,2014-06-26,Miranda Lambert,Somethin' Bad,127792158
2021-04-14,2014-11-06,Carrie Underwood,Something in the Water,32923729
2021-04-14,2015-01-31,Carrie Underwood,Little Toy Guns,21639427
2021-04-14,2015-08-25,Carrie Underwood,Smoke Break,19758192
2021-04-14,2015-12-02,Carrie Underwood,Heartbeat,22245874
2021-04-14,2016-05-12,Carrie Underwood,Church Bells,50248026
2021-04-14,2016-10-13,Carrie Underwood,Dirty Laundry,39495237
2021-04-14,2018-05-06,Carrie Underwood,Cry Pretty,20617575
2021-04-14,2018-09-11,Carrie Underwood,Love Wins,14112604
2021-04-14,2019-06-07,Carrie Underwood,Southbound,17046759
2021-04-14,2019-11-20,Carrie Underwood,Drinking Alone,13851857
2021-04-14,2020-11-20,Carrie Underwood,Hallelujah,6302860
2021-04-15,2010-03-08,Carrie Underwood,"Jesus, Take The Wheel",70831579
2021-04-15,2009-10-02,Carrie Underwood,Don't Forget To Remember Me,21725920
2021-04-15,2009-10-02,Carrie Underwood,Before He Cheats,134773333
2021-04-15,2009-10-02,Carrie Underwood,Wasted,30095597
2021-04-15,2009-10-02,Carrie Underwood,So Small,31979054
2021-04-15,2009-10-02,Carrie Underwood,All-American Girl,35254109
2021-04-15,2009-10-02,Carrie Underwood,Last Name,26682112
2021-04-15,2009-10-02,Carrie Underwood,Just A Dream,85793215
2021-04-15,2017-12-04,Carrie Underwood,I Told You So,2599341
2021-04-15,2009-11-14,Carrie Underwood,Cowboy Casanova,37820185
2021-04-15,2010-01-20,Carrie Underwood,Temporary Home,45639898
2021-04-15,2010-05-11,Carrie Underwood,Undo It,14102133
2021-04-15,2010-09-23,Carrie Underwood,Mama's Song,52392903
